what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620179722349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1620179772267
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1620179774626
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620179800221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620179801937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620179804108
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620179808552
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620179811831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620179813574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620179815763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620179824352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620179826877
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1620179827371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620179828736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620179832733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620179836539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620179839084
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1620179839580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620179840079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620179846090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620179855611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620179855641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620179861115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180274398
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620180276047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180298345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180537210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620180595597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1620180608080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1620180608284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1620180608968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1620180609200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180614322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180617020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180702521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180704495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1620180719731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1620180720130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620180744072
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620180745585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180747430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180751860
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620180757587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180765069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180789326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180791023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180804011
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620180805662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180811612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180814333
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1620180814894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180821402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180821432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620180829303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181208950
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620181211761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1620181273533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1620181276346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620181279138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620181362812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181369863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181377220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181377830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181380430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181388596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181392532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181392788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181401092
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620181403641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181405478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181409670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181419972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181422496
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1620181423014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181429503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181429529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181437971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181614865
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620181617894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620181621400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181622829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181688721
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620181695024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181705390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181709470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181724125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181726745
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1620181727295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181734588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181734617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181751028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181755498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620181756586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620182089073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620182097369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620182100252
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1620182100795
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620182105437
